bug_id,project_id,severity,description,reported_date,resolved
351,183,Low,Données corrompues lors de la fusion de documents. (bug #351),2024-04-15,1
352,341,Critical,Crash lié à la gestion de la mémoire. (bug #352),2023-03-12,0
353,435,Medium,Crash lié à la gestion de la mémoire. (bug #353),2024-01-13,0
354,235,Low,Fonction de mise en forme ne s’applique pas correctement. (bug #354),2023-02-02,0
355,7,Medium,Export PDF ne génère pas le bon format. (bug #355),2024-05-22,0
356,286,Critical,Données corrompues lors de la fusion de documents. (bug #356),2024-06-03,1
357,27,Critical,La mise en page change après la réouverture du document. (bug #357),2023-02-06,0
358,130,Critical,Export PDF ne génère pas le bon format. (bug #358),2023-03-23,1
359,32,Medium,Déclenchement incorrect d’un message d’avertissement. (bug #359),2024-07-14,1
360,175,Critical,Blocage aléatoire lors de l’édition d’un document. (bug #360),2023-01-07,1
361,172,Low,Synchronisation cloud échoue dans certaines conditions. (bug #361),2023-11-10,0
362,387,Critical,Fonction de mise en forme ne s’applique pas correctement. (bug #362),2023-05-19,1
363,419,High,Incompatibilité avec certaines extensions. (bug #363),2023-05-09,1
364,99,Medium,Fonction de recherche ne retourne pas les bons résultats. (bug #364),2023-09-15,1
365,82,Medium,Blocage aléatoire lors de l’édition d’un document. (bug #365),2023-11-30,0
366,403,High,Problème de performance lors du chargement de gros fichiers. (bug #366),2023-10-18,0
367,291,High,Problème avec les raccourcis clavier personnalisés. (bug #367),2023-08-22,0
368,141,Medium,Synchronisation cloud échoue dans certaines conditions. (bug #368),2022-07-21,1
369,140,Critical,Crash lors de l'ouverture du fichier. (bug #369),2024-08-11,1
370,390,Low,Erreur de sauvegarde dans le module de traitement. (bug #370),2023-05-11,1
371,143,High,Les macros ne s’exécutent pas correctement. (bug #371),2022-06-16,1
372,73,Low,Incompatibilité avec certaines extensions. (bug #372),2022-02-22,1
373,44,Critical,Déclenchement incorrect d’un message d’avertissement. (bug #373),2024-03-03,0
374,117,Medium,Erreur de conversion d’encodage. (bug #374),2024-08-12,0
375,168,Medium,Erreur de sauvegarde dans le module de traitement. (bug #375),2022-09-14,1
376,324,High,Erreur de conversion d’encodage. (bug #376),2023-11-07,1
377,101,Medium,Fonction de recherche ne retourne pas les bons résultats. (bug #377),2022-05-24,0
378,82,Low,Problème de performance lors du chargement de gros fichiers. (bug #378),2022-12-28,0
379,426,Low,Erreur de sauvegarde dans le module de traitement. (bug #379),2023-03-22,0
380,31,Critical,Export PDF ne génère pas le bon format. (bug #380),2022-05-28,0
381,163,Critical,Crash lié à la gestion de la mémoire. (bug #381),2022-12-16,0
382,78,High,Export PDF ne génère pas le bon format. (bug #382),2023-12-18,0
383,443,Critical,La mise en page change après la réouverture du document. (bug #383),2022-03-01,0
384,278,Low,Impossible de charger certains modèles. (bug #384),2024-01-29,0
385,345,Low,Crash lié à la gestion de la mémoire. (bug #385),2022-05-09,0
386,10,High,Problème d’affichage dans l’interface utilisateur. (bug #386),2022-08-16,1
387,452,Low,Module d’impression ne répond plus. (bug #387),2024-03-23,0
388,498,High,Erreur de conversion d’encodage. (bug #388),2023-05-14,1
389,456,Medium,Fonction de recherche ne retourne pas les bons résultats. (bug #389),2022-04-26,0
390,388,Critical,Crash lié à la gestion de la mémoire. (bug #390),2022-06-09,1
391,151,Critical,Problème de performance lors du chargement de gros fichiers. (bug #391),2022-04-20,0
392,3,High,Crash lié à la gestion de la mémoire. (bug #392),2024-10-11,0
393,401,Critical,Erreur de sauvegarde dans le module de traitement. (bug #393),2024-06-21,0
394,162,Medium,Erreur de compilation dans le module principal. (bug #394),2023-11-28,1
395,122,Critical,Impossible de charger certains modèles. (bug #395),2024-03-19,0
396,438,High,Crash lors de l'ouverture du fichier. (bug #396),2022-03-14,0
397,200,High,Données corrompues lors de la fusion de documents. (bug #397),2023-06-07,1
398,161,Low,Fonction de recherche ne retourne pas les bons résultats. (bug #398),2023-08-16,1
399,60,Medium,Données corrompues lors de la fusion de documents. (bug #399),2022-06-22,1
400,331,Medium,Erreur de compilation dans le module principal. (bug #400),2023-08-11,1
